
[ 659.770366] [AOA] Measurement: 0,1626941839.561276,04:ce:14:0b:84:6c,2,1,1,0,128,93,99,62,373,953,786,381,583,660,497,15,1019,221,724,329,128,284,171,975,136,181,905,985,1020,305,887,544,607,721,920,1012,207,38,82,98,30,16,65,41,76,53,16,59,75,20,25,20,16,68,107,89,13,21,35,62,22,25,63,40,78,60,75,97,99
[ 659.800106] [AOA] Measurement: 0,1626941839.591017,04:ce:14:0b:84:6c,2,1,1,0,128,124,110,508,480,1009,836,946,749,636,471,28,49,154,777,362,899,782,987,339,658,375,224,600,15,734,32,539,538,592,863,175,460,34,69,88,31,15,63,40,79,47,25,44,67,20,20,19,17,49,96,79,17,12,5,53,29,24,53,29,70,62,79,82,86
[ 659.829486] [AOA] Measurement: 0,1626941839.620396,04:ce:14:0b:84:6c,2,1,1,0,128,641,1009,659,588,482,910,412,619,606,485,28,25,211,772,319,955,815,34,782,972,801,73,585,128,730,25,596,636,599,834,115,391,38,82,88,22,15,58,30,61,54,6,72,76,19,28,11,26,87,99,91,30,37,67,69,20,29,66,52,82,54,70,94,106
[ 659.853134] [AOA] Measurement: 0,1626941839.644049,04:ce:14:0b:84:6c,2,1,1,0,128,207,225,635,563,494,12,1015,790,626,456,113,68,223,754,339,62,336,227,938,116,28,763,542,258,800,13,988,355,117,675,192,450,37,82,88,21,15,59,30,60,52,7,72,76,19,28,12,26,88,100,90,29,37,67,69,20,30,64,53,84,56,71,94,106
[ 659.893310] [AOA] Measurement: 0,1626941839.684227,04:ce:14:0b:84:6c,2,1,1,0,128,582,950,73,363,583,39,865,763,586,452,1005,39,208,775,368,891,265,114,271,658,376,224,571,1019,697,31,573,557,572,863,848,61,44,103,126,42,23,84,50,98,61,26,71,91,25,30,17,26,83,133,111,13,22,28,76,33,32,78,47,96,79,101,112,120
[ 659.923172] [AOA] Measurement: 0,1626941839.714082,04:ce:14:0b:84:6c,2,1,1,0,128,56,83,507,528,520,983,890,744,999,181,506,890,734,625,878,702,323,148,821,842,394,257,521,857,653,1012,1011,300,1006,607,388,713,38,81,85,19,16,56,25,55,52,7,71,73,17,28,11,27,87,96,88,33,39,72,67,20,29,65,54,83,53,68,89,103
[ 659.949929] [AOA] Measurement: 0,1626941839.740843,04:ce:14:0b:84:6c,2,1,1,0,128,240,248,586,552,477,1009,11,809,568,398,27,27,644,531,334,32,755,1010,1018,195,151,813,512,220,849,53,934,368,650,841,504,742,24,46,68,27,21,56,43,66,29,28,18,49,20,10,14,16,25,65,56,34,9,26,38,43,14,42,15,45,48,62,56,59
[ 659.977331] [AOA] Measurement: 0,1626941839.768242,04:ce:14:0b:84:6c,2,1,1,0,128,203,210,656,564,484,984,1015,751,81,264,41,40,190,707,367,51,342,248,861,83,639,598,27,41,792,20,499,570,684,897,850,991,37,85,97,30,16,65,38,74,52,16,64,76,20,27,13,23,77,108,91,16,25,43,67,20,25,64,46,84,62,79,94,103
[ 660.000553] [AOA] Measurement: 0,1626941839.791468,04:ce:14:0b:84:6c,2,1,1,0,128,678,38,115,323,451,985,1000,806,20,198,56,28,145,591,858,925,764,2,413,968,555,598,9,67,843,53,492,650,714,905,652,819,39,87,92,26,16,61,32,66,54,9,70,78,19,29,12,25,84,102,90,25,32,60,66,18,28,64,51,84,57,74,93,107
[ 660.032979] [AOA] Measurement: 0,1626941839.823888,04:ce:14:0b:84:6c,2,1,1,0,128,622,950,44,364,466,965,362,535,1011,216,522,891,666,572,798,753,782,988,327,705,337,220,1013,870,179,845,59,421,54,619,349,785,35,73,102,37,23,76,56,94,44,34,37,71,23,17,18,17,44,103,86,33,12,20,59,48,22,66,25,69,66,83,86,92
